n, time
0,42
10,211
20,482
30,876
40,1437
50,2458
60,2961
70,4190
80,4800
90,6055
100,7615
110,8999
120,10446
130,12976
140,14268
150,15378
160,17614
170,20091
180,22303
190,24940
200,27065
210,29556
220,33885
230,37662
240,38180
250,41727
260,44811
270,48132
280,50787
290,55977
300,58666
310,65526
320,69916
330,70950
340,76835
350,82350
360,87987
370,91953
380,94117
390,99673
400,106338
410,110938
420,118710
430,120056
440,127348
450,136491
460,142866
470,147810
480,156532
490,163049
500,168140
510,178726
520,186895
530,189801
540,206901
550,207436
560,214770
570,226238
580,229607
590,234704
600,250558
610,263596
620,264955
630,272685
640,290712
650,288174
660,300956
670,310900
680,324841
690,332513
700,338036
710,352498
720,357839
730,374281
740,372061
750,382225
760,394511
770,408920
780,427914
790,431008
800,447135
810,447055
820,469509
830,470056
840,485852
850,496408
860,508048
870,511511
880,528102
890,543133
900,552575
910,572234
920,580517
930,594385
940,613656
950,611754
960,635316
970,628565
980,659937
990,658338
1000,673617
