n, time
0,0
10,2
20,6
30,9
40,9
50,12
60,12
70,12
80,12
90,13
100,14
110,15
120,16
130,17
140,19
150,20
160,21
170,24
180,26
190,27
200,29
210,30
220,32
230,33
240,34
250,36
260,37
270,40
280,41
290,43
300,43
310,46
320,47
330,50
340,51
350,53
360,54
370,58
380,60
390,61
400,61
410,63
420,63
430,64
440,65
450,69
460,71
470,72
480,74
490,73
500,74
510,72
520,75
530,78
540,79
550,81
560,82
570,83
580,87
590,86
600,87
610,90
620,92
630,93
640,93
650,96
660,98
670,100
680,101
690,103
700,124
710,109
720,108
730,111
740,114
750,116
760,119
770,126
780,126
790,135
800,135
810,132
820,134
830,136
840,136
850,137
860,139
870,141
880,142
890,144
900,146
910,147
920,148
930,151
940,153
950,154
960,156
970,159
980,159
990,159
1000,161
