n, time
0,0
10,0
20,0
30,1
40,1
50,2
60,2
70,3
80,3
90,4
100,5
110,5
120,6
130,7
140,7
150,8
160,9
170,9
180,10
190,10
200,11
210,12
220,12
230,13
240,14
250,15
260,16
270,16
280,16
290,21
300,21
310,19
320,20
330,21
340,21
350,22
360,23
370,23
380,24
390,25
400,26
410,27
420,28
430,28
440,29
450,29
460,30
470,31
480,32
490,33
500,33
510,34
520,35
530,36
540,37
550,37
560,38
570,39
580,40
590,40
600,41
610,43
620,43
630,44
640,45
650,45
660,46
670,47
680,48
690,48
700,49
710,51
720,51
730,52
740,53
750,53
760,55
770,54
780,56
790,56
800,58
810,59
820,59
830,60
840,60
850,62
860,63
870,63
880,64
890,65
900,66
910,67
920,67
930,69
940,69
950,69
960,71
970,72
980,72
990,73
1000,74
