artist	song	highestRank	year	nonPerson	name
Metro Boomin Featuring 21 Savage	10 Freaky Girls	42	2018	NA	Harriet
Metro Boomin Featuring 21 Savage	10 Freaky Girls	42	2018	NA	Jess
Metro Boomin Featuring 21 Savage	10 Freaky Girls	42	2018	NA	Keisha
Metro Boomin Featuring 21 Savage	10 Freaky Girls	42	2018	NA	Randy
Metro Boomin Featuring 21 Savage	10 Freaky Girls	42	2018	NA	Sandy
Metro Boomin Featuring 21 Savage	10 Freaky Girls	42	2018	NA	Tiffany
Trippie Redd Featuring Juice WRLD	1400 / 999 Freestyle	55	2018	NA	Ike
Trippie Redd Featuring Juice WRLD	1400 / 999 Freestyle	55	2018	NA	Ike
Trippie Redd Featuring Juice WRLD	1400 / 999 Freestyle	55	2018	NA	Madison
Trippie Redd Featuring Juice WRLD	1400 / 999 Freestyle	55	2018	NA	Madison
Trippie Redd Featuring Juice WRLD	1400 / 999 Freestyle	55	2018	NA	Madison
Trippie Redd Featuring Juice WRLD	1400 / 999 Freestyle	55	2018	NA	Madison
21 Savage	1.5	86	2019	car	Bentley
21 Savage	1.5	86	2019	NA	Ella
21 Savage	1.5	86	2019	NA	Jerry
Meek Mill	1942 Flows	83	2017	car	Bentley
Meek Mill	1942 Flows	83	2017	NA	Billy
Meek Mill	1942 Flows	83	2017	NA	Daniel
Meek Mill	1942 Flows	83	2017	NA	Jazmine
Meek Mill	1942 Flows	83	2017	NA	Jesus
Meek Mill	1942 Flows	83	2017	NA	Nicki
Meek Mill	1942 Flows	83	2017	NA	Ross
Meek Mill	1942 Flows	83	2017	NA	Wendy
G-Eazy Featuring Yo Gotti & YBN Nahmir	1942	70	2018	NA	Baby
G-Eazy Featuring Yo Gotti & YBN Nahmir	1942	70	2018	brand	Christian
Gunna Featuring Young Thug	3 Headed Snake	74	2019	NA	Ross
Gunna Featuring Young Thug	3 Headed Snake	74	2019	car	Royce
Future	31 Days	65	2018	city	London
Zedd & Katy Perry	365	86	2019	NA	Baby
2 Chainz Featuring Travis Scott	00:00.0	NA	NA	NA	Carter
Future	4 Da Gang	92	2017	NA	Jerry
Future	4 Da Gang	92	2017	NA	Seth
Logic	44 More	65	2018	NA	David
Logic	44 More	65	2018	NA	David
Logic	44 More	65	2018	NA	Elijah
Logic	44 More	65	2018	NA	Harry
Logic	44 More	65	2018	NA	Katy
Logic	44 More	65	2018	NA	Kevin
Logic	44 More	65	2018	NA	Perry
JAY-Z	44:00.0	NA	NA	city	Paris
Lil Uzi Vert	444+222	100	2017	NA	Jay
Lil Uzi Vert	444+222	100	2017	NA	Jay
Lil Uzi Vert	444+222	100	2017	NA	Jay
Lil Uzi Vert	444+222	100	2017	NA	Jay
Lil Uzi Vert	444+222	100	2017	NA	Jay
Lil Uzi Vert	444+222	100	2017	NA	Jay
Travis Scott	5% Tint	36	2018	NA	Kevin
Lil Yachty Featuring Trippie Redd	66	73	2018	car	Bentley
Lil Yachty Featuring Trippie Redd	66	73	2018	car	Bentley
Lil Yachty Featuring Trippie Redd	66	73	2018	car	Bentley
Lil Yachty Featuring Trippie Redd	66	73	2018	car	Bentley
Lil Yachty Featuring Trippie Redd	66	73	2018	car	Bentley
Lil Yachty Featuring Trippie Redd	66	73	2018	car	Bentley
Ariana Grande	7 Rings	1	2019	NA	Tiffany
